id,reference_id,amount,currency,date,status,can_cancel
901469771,23867888,151,SAR,"2021-10-01 19:17:31.000000",مسترجع,
914461579,21804080,201,SAR,"2021-09-01 17:38:25.000000","تم الشحن",
550138405,20431746,250,SAR,"2021-08-07 21:11:40.000000","تم الشحن",
2058772761,20060350,568,SAR,"2021-08-01 05:57:37.000000","تم الشحن",
333575721,19837838,241,SAR,"2021-07-28 07:41:55.000000","تم التوصيل",
1259311939,19725544,250,SAR,"2021-07-26 11:13:16.000000","قيد التنفيذ",
1192407147,19658704,250,SAR,"2021-07-24 18:35:59.000000","بإنتظار المراجعة",
1372543486,19084123,117,SAR,"2021-07-14 17:21:54.000000","تم التوصيل",
1652328668,18720377,25.97,SAR,"2021-07-08 19:41:45.000000","تم التوصيل",
1186851200,18553125,280,SAR,"2021-07-06 02:14:15.000000","جاري التوصيل",
1081349426,18459543,84,SAR,"2021-07-04 19:25:30.000000","تم التنفيذ",
178257746,18117111,124,SAR,"2021-06-29 20:16:30.000000","جاري التوصيل",
829823752,18112429,134,SAR,"2021-06-29 19:06:02.000000","تم التنفيذ",
397455832,18016637,137,SAR,"2021-06-28 15:25:06.000000","جاري التوصيل",
1498743618,17853927,246,SAR,"2021-06-26 15:18:42.000000","جاري التوصيل",
643003836,17762585,194,SAR,"2021-06-24 10:43:53.000000","جاري التوصيل",
2091242580,17748721,124,SAR,"2021-06-24 01:37:08.000000","بإنتظار المراجعة",
91980091,17716896,140,SAR,"2021-06-23 09:04:28.000000","جاري التوصيل",
39432880,17715221,124,SAR,"2021-06-23 07:19:09.000000","قيد التنفيذ",
1386650290,17675799,52,SAR,"2021-06-22 09:58:26.000000","جاري التوصيل",
1108792576,17669541,83,SAR,"2021-06-22 03:26:46.000000","قيد التنفيذ",
1483471377,17668022,199,SAR,"2021-06-22 02:23:11.000000","جاري التوصيل",
1581793336,17644189,148,SAR,"2021-06-21 14:17:35.000000","تم التوصيل",
1306378182,17614179,69,SAR,"2021-06-20 18:43:55.000000","قيد التنفيذ",
112897176,17579581,151,SAR,"2021-06-19 20:48:55.000000","تم التوصيل",
619259216,17563125,163,SAR,"2021-06-19 11:14:17.000000","تم التوصيل",
2118855228,17556633,151,SAR,"2021-06-19 03:48:13.000000",ملغي,
1312263822,17509931,127,SAR,"2021-06-17 21:39:04.000000","تم التوصيل",
1689549223,17402372,239,SAR,"2021-06-15 03:16:56.000000","تم التوصيل",
2069455551,17332508,176,SAR,"2021-06-13 17:04:31.000000","تم التوصيل",
1462399046,17269987,298,SAR,"2021-06-12 01:15:43.000000","تم التوصيل",
341323440,16442389,53,SAR,"2021-05-26 20:28:19.000000",ملغي,
1398058041,15465886,0,SAR,"2021-05-04 12:01:42.000000","تم التوصيل",
699598330,15463263,121,SAR,"2021-05-04 10:16:40.000000",ملغي,
866175914,15437071,146,SAR,"2021-05-04 02:43:30.000000","تم التنفيذ",
1057135388,15356857,97,SAR,"2021-05-03 02:39:03.000000","تم التنفيذ",
1838557751,15354260,237,SAR,"2021-05-03 02:06:10.000000","تم التنفيذ",
167762979,15344520,267,SAR,"2021-05-03 00:11:05.000000","تم التنفيذ",
1840933959,15316964,328,SAR,"2021-05-02 18:03:57.000000","تم الشحن",
1173053137,15299446,266,SAR,"2021-05-02 09:34:56.000000","تم التنفيذ",
528639727,15287628,166,SAR,"2021-05-02 05:36:02.000000","تم التنفيذ",
1776592815,15287308,361,SAR,"2021-05-02 05:32:29.000000","تم التنفيذ",
